sample,treatment
1121_S7_L001,low
1122_S8_L001,low
1126_S9_L001,low
1294_S15_L001,low
1295_S16_L001,low
1296_S17_L001,low
vc1298,low
vc1300,high
1306_S29_L001,high
vc1309,low
vc1311,low
vc1312,low
1401_S1_L001,low
1402_all,low
1403_all,low
1409_all,high
1410_all,high
1412_all,low
1242_S10_L001,high
1243_S26_L001,high
1250_S11_L001,high
1251_S27_L001,high
1264_S12_L001,high
1265_S13_L001,high
1289_S14_L001,high
1290_S28_L001,high
1321_S30_L001,high
1327_S31_L001,high
1328_S18_L001,high
1334_S19_L001,high
1335_S20_L001,high
1341_S32_L001,high
1347_S21_L001,high
1348_S22_L001,high
1354_all,high
1355_S23_L001,high
1362_S24_L001,high
1368_all,high
1369_S25_L001,high
1375_S35_L001,high
1383_all,high
1389_all,high
